dataset,point,bits_per_transition,embed_rate,max_public_auc,capacity_at_auc_060
tgbl-wiki,ultra_stealth,0.0045,0.0045,0.504487485,0.0045
tgbl-wiki,conservative,0.0501,0.0501,0.539597485,0.0501
tgbl-wiki,balanced,0.0924,0.0924,0.566940075,0.0924
tgbl-wiki,open_rank,0.1338,0.1338,0.59295472,0.1338
tgbl-wiki,two_bit_probe,0.2129,0.1505,0.60736831,0.0
mooc,ultra_stealth,0.0,0.0,0.5,0.0
mooc,conservative,0.0011,0.0011,0.5009990750000001,0.0011
mooc,balanced,0.0047,0.0047,0.504288185,0.0047
mooc,open_rank,0.0254,0.0254,0.523801315,0.0254
mooc,two_bit_probe,1.9941,0.9992,0.9900239299999999,0.0
lastfm,ultra_stealth,0.0,0.0,0.5,0.0
lastfm,conservative,0.0,0.0,0.5000000099999999,0.0
lastfm,balanced,0.0002,0.0002,0.5001994900000001,0.0002
lastfm,open_rank,0.0038,0.0038,0.5034890599999999,0.0038
lastfm,two_bit_probe,0.0536,0.0277,0.5247583549999999,0.0536
geolife_cells,ultra_stealth,0.0,0.0,0.500000005,0.0
geolife_cells,conservative,0.0005,0.0005,0.500015175,0.0005
geolife_cells,balanced,0.0007,0.0007,0.50006862,0.0007
geolife_cells,open_rank,0.3086,0.3086,0.760220545,0.0
geolife_cells,two_bit_probe,0.6169,0.309,0.7602211449999999,0.0
t_drive_cells,ultra_stealth,0.0,0.0,0.5,0.0
t_drive_cells,conservative,0.0316,0.0316,0.522012975,0.0316
t_drive_cells,balanced,0.1106,0.1106,0.56560611,0.1106
t_drive_cells,open_rank,0.268,0.268,0.64493639,0.0
t_drive_cells,two_bit_probe,0.5751,0.3388,0.6792188349999999,0.0
