dataset,operating_point,max_public_auc,bits_per_transition,payload,payload_bits,required_transitions
geolife_cells,balanced,0.50006862,0.0007,control_command,8,11429
geolife_cells,balanced,0.50006862,0.0007,session_marker,32,45715
geolife_cells,balanced,0.50006862,0.0007,compact_metadata,64,91429
geolife_cells,balanced,0.50006862,0.0007,short_capability_token,128,182858
lastfm,two_bit_probe,0.5247583549999999,0.0536,control_command,8,150
lastfm,two_bit_probe,0.5247583549999999,0.0536,session_marker,32,598
lastfm,two_bit_probe,0.5247583549999999,0.0536,compact_metadata,64,1195
lastfm,two_bit_probe,0.5247583549999999,0.0536,short_capability_token,128,2389
mooc,open_rank,0.523801315,0.0254,control_command,8,315
mooc,open_rank,0.523801315,0.0254,session_marker,32,1260
mooc,open_rank,0.523801315,0.0254,compact_metadata,64,2520
mooc,open_rank,0.523801315,0.0254,short_capability_token,128,5040
t_drive_cells,balanced,0.56560611,0.1106,control_command,8,73
t_drive_cells,balanced,0.56560611,0.1106,session_marker,32,290
t_drive_cells,balanced,0.56560611,0.1106,compact_metadata,64,579
t_drive_cells,balanced,0.56560611,0.1106,short_capability_token,128,1158
tgbl-wiki,open_rank,0.59295472,0.1338,control_command,8,60
tgbl-wiki,open_rank,0.59295472,0.1338,session_marker,32,240
tgbl-wiki,open_rank,0.59295472,0.1338,compact_metadata,64,479
tgbl-wiki,open_rank,0.59295472,0.1338,short_capability_token,128,957
