dataset,detector,attempted_bits_per_transition_mean,attempted_bits_per_transition_std,n_seeds,auc_mean,auc_std,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,eer_mean,eer_std,eer_min,eer_max
geolife_cells,forest,0.00232,8.366600265340741e-05,5,0.5001041900000002,8.649095328461313e-06,0.5001000900000001,0.5001196600000002,0.50005,0.0,0.50005,0.50005,0.49995,0.0,0.49995,0.49995
geolife_cells,linear,0.00232,8.366600265340741e-05,5,0.50019948,0.0,0.50019948,0.50019948,0.5001,0.0,0.5001,0.5001,0.49990000000000007,6.206335383118183e-17,0.4999,0.4999
geolife_cells,mlp,0.00232,8.366600265340741e-05,5,0.5001756350000001,3.1787211068240575e-05,0.5001407150000001,0.500214615,0.50008,2.738612787525529e-05,0.50005,0.5001,0.49992000000000003,2.738612787525529e-05,0.4999,0.49995
lastfm,forest,0.0006399999999999999,5.4772255750516634e-05,5,0.500040565,5.362049503221208e-05,0.500000015,0.50010033,0.5000199999999999,2.7386127875255288e-05,0.5,0.50005,0.49998000000000004,2.7386127875255288e-05,0.49995,0.5
lastfm,linear,0.0006399999999999999,5.4772255750516634e-05,5,0.5001392870000001,5.386220945615853e-05,0.5000999050000001,0.50019842,0.50007,2.738612787525529e-05,0.50005,0.5001,0.49993,2.738612787525529e-05,0.4999,0.49995
lastfm,mlp,0.0006399999999999999,5.4772255750516634e-05,5,0.49995992300000003,8.944255486064566e-05,0.49990002999999994,0.50010073,0.49998000000000004,4.472135954999087e-05,0.49995,0.50005,0.5000199999999999,4.472135954999087e-05,0.49995,0.50005
mooc,forest,0.00116,0.00011401754250991374,5,0.501059001,0.00011395777427406632,0.500898965,0.501198925,0.50053,5.700877125493114e-05,0.5004500000000001,0.5005999999999999,0.49946999999999997,5.700877125496766e-05,0.4994,0.49955000000000005
mooc,linear,0.00116,0.00011401754250991374,5,0.501012891,0.00010509241215471372,0.500897595,0.501183765,0.50051,5.4772255750525775e-05,0.5004500000000001,0.5006,0.49949000000000005,5.477225575052325e-05,0.4994,0.49955000000000005
mooc,mlp,0.00116,0.00011401754250991374,5,0.500790056,0.00045193236379186355,0.500044155,0.5011972,0.50039,0.00023558437978781258,0.5,0.5006,0.49961,0.00023558437978780372,0.49939999999999996,0.5
t_drive_cells,forest,0.09935999999999999,0.0009989994994993728,5,0.5362142329999999,0.0008848485904563367,0.5354898299999999,0.5373781599999999,0.51877,0.000515509456751266,0.51835,0.51945,0.4812200000000001,0.00050818303789088,0.48055000000000003,0.48165
t_drive_cells,linear,0.09935999999999999,0.0009989994994993728,5,0.5319517579999999,0.0007877143232368683,0.5313657249999999,0.533322035,0.51833,0.00046984039843333706,0.51805,0.51915,0.48178,0.0004893873721296828,0.48095,0.48224999999999996
t_drive_cells,mlp,0.09935999999999999,0.0009989994994993728,5,0.534531201,0.0011952436150707848,0.53324326,0.536432995,0.51826,0.0005888548208174709,0.5176000000000001,0.5192,0.48175,0.000596866819315669,0.4808,0.48235
tgbl-wiki,forest,0.09926,0.0016102794788483167,5,0.575646772,0.000901247502129705,0.574745005,0.57699272,0.5397000000000001,0.00043732139211340333,0.53925,0.54035,0.4603,0.000437321392113397,0.45965,0.46075
tgbl-wiki,linear,0.09926,0.0016102794788483167,5,0.555324301,0.0010236093267538304,0.5538544350000001,0.55662327,0.5309,0.0012108881038312251,0.5291,0.5323,0.46927,0.0006047726845683306,0.46840000000000004,0.46995
tgbl-wiki,mlp,0.09926,0.0016102794788483167,5,0.5739904709999999,0.001207603669211266,0.5726228449999999,0.5754043099999999,0.5389200000000001,0.0005985398900658036,0.5382,0.53975,0.46107000000000004,0.0007302396866782787,0.46025,0.4619
