dataset,detector,scope,auc,auc_ci_low,auc_ci_high,balanced_accuracy,eer
tgbl-wiki,temporal_graph_eve,independent,0.5010427343749999,,,0.5000625000000001,0.500875
tgbl-wiki,sequence_transformer_eve,independent,0.5135636484375,,,0.5069375,0.49250000000000005
tgbl-wiki,bounded_white_box_gradient_boosting,bounded_white_box,0.5296305,0.5212773302135756,0.5368318674074298,0.5150625,0.4849375
tgbl-wiki,oracle_leakage_gradient_boosting,oracle_leakage,0.5371577421875,0.5343260332261233,0.5398666898074296,0.5189375,0.4810625
mooc,temporal_graph_eve,independent,0.5001866484374999,,,0.5001875,0.499875
mooc,sequence_transformer_eve,independent,0.4998985156250001,,,0.4999375,0.5000625
mooc,bounded_white_box_gradient_boosting,bounded_white_box,0.5008746171874998,0.5004395026103828,0.5014405182851389,0.5004375,0.4995625
mooc,oracle_leakage_gradient_boosting,oracle_leakage,0.5008746171875,0.5004998155673273,0.5014975782532284,0.5004375,0.4995625
lastfm,temporal_graph_eve,independent,0.4999999921875001,,,0.5,0.5
lastfm,sequence_transformer_eve,independent,0.49999999999999994,,,0.5,0.5
lastfm,bounded_white_box_gradient_boosting,bounded_white_box,0.5,0.5,0.5,0.5,0.5
lastfm,oracle_leakage_gradient_boosting,oracle_leakage,0.5,0.5,0.5,0.5,0.5
geolife_cells,temporal_graph_eve,independent,0.5,,,0.5,0.5
geolife_cells,sequence_transformer_eve,independent,0.49999999999999994,,,0.5,0.5
geolife_cells,bounded_white_box_gradient_boosting,bounded_white_box,0.5,0.5,0.5,0.5,0.5
geolife_cells,oracle_leakage_gradient_boosting,oracle_leakage,0.5,0.5,0.5,0.5,0.5
t_drive_cells,temporal_graph_eve,independent,0.5003308359374999,,,0.4999375,0.4995625
t_drive_cells,sequence_transformer_eve,independent,0.50016834375,,,0.5015000000000001,0.5015
t_drive_cells,bounded_white_box_gradient_boosting,bounded_white_box,0.520656234375,0.5127401263045506,0.5288222812792426,0.5104375,0.4895625
t_drive_cells,oracle_leakage_gradient_boosting,oracle_leakage,0.532938875,0.5302727581667596,0.5352618810192843,0.51675,0.48325
