dataset,n_nodes,n_edges,bind_capacity_bits,bind_capacity_bpe,method,message_bytes,payload_bits,payload_bpe,header_bits,selected_edges,roundtrip_exact,added_edges,topology_modified,error
tgbl-wiki,4045,5316,6000,1.1286681715575622,BIND,8,64.0,0.012039127163280662,16.0,40.0,True,0.0,False,
tgbl-wiki,4045,5316,6000,1.1286681715575622,AdaBIND,8,64.0,0.012039127163280662,16.0,,True,0.0,False,
tgbl-wiki,4045,5316,6000,1.1286681715575622,BIND,16,128.0,0.024078254326561323,16.0,72.0,True,0.0,False,
tgbl-wiki,4045,5316,6000,1.1286681715575622,AdaBIND,16,128.0,0.024078254326561323,16.0,,True,0.0,False,
tgbl-wiki,4045,5316,6000,1.1286681715575622,BIND,32,256.0,0.04815650865312265,16.0,136.0,True,0.0,False,
tgbl-wiki,4045,5316,6000,1.1286681715575622,AdaBIND,32,256.0,0.04815650865312265,16.0,,True,0.0,False,
mooc,2013,17083,29824,1.7458291869109641,BIND,8,64.0,0.0037464145641866184,16.0,40.0,True,0.0,False,
mooc,2013,17083,29824,1.7458291869109641,AdaBIND,8,64.0,0.0037464145641866184,16.0,,True,0.0,False,
mooc,2013,17083,29824,1.7458291869109641,BIND,16,128.0,0.007492829128373237,16.0,72.0,True,0.0,False,
mooc,2013,17083,29824,1.7458291869109641,AdaBIND,16,128.0,0.007492829128373237,16.0,,True,0.0,False,
mooc,2013,17083,29824,1.7458291869109641,BIND,32,256.0,0.014985658256746474,16.0,136.0,True,0.0,False,
mooc,2013,17083,29824,1.7458291869109641,AdaBIND,32,256.0,0.014985658256746474,16.0,,True,0.0,False,
lastfm,1599,14042,27376,1.949579831932773,BIND,8,64.0,0.004557755305512035,16.0,40.0,True,0.0,False,
lastfm,1599,14042,27376,1.949579831932773,AdaBIND,8,64.0,0.004557755305512035,16.0,,True,0.0,False,
lastfm,1599,14042,27376,1.949579831932773,BIND,16,128.0,0.00911551061102407,16.0,72.0,True,0.0,False,
lastfm,1599,14042,27376,1.949579831932773,AdaBIND,16,128.0,0.00911551061102407,16.0,,True,0.0,False,
lastfm,1599,14042,27376,1.949579831932773,BIND,32,256.0,0.01823102122204814,16.0,136.0,True,0.0,False,
lastfm,1599,14042,27376,1.949579831932773,AdaBIND,32,256.0,0.01823102122204814,16.0,,True,0.0,False,
geolife_cells,43,118,72,0.6101694915254238,BIND,8,,,,,False,,False,Insufficient edge types: {'10': 4}
geolife_cells,43,118,72,0.6101694915254238,AdaBIND,8,64.0,0.48120300751879697,16.0,,True,15.0,True,
geolife_cells,43,118,72,0.6101694915254238,BIND,16,,,,,False,,False,"Insufficient edge types: {'01': 4, '10': 16, '11': 6}"
geolife_cells,43,118,72,0.6101694915254238,AdaBIND,16,128.0,0.8152866242038217,16.0,,True,39.0,True,
geolife_cells,43,118,72,0.6101694915254238,BIND,32,,,,,False,,False,"Insufficient edge types: {'01': 22, '10': 31, '11': 18}"
geolife_cells,43,118,72,0.6101694915254238,AdaBIND,32,256.0,1.3617021276595744,16.0,,True,70.0,True,
t_drive_cells,1480,6704,11080,1.652744630071599,BIND,8,64.0,0.00954653937947494,16.0,40.0,True,0.0,False,
t_drive_cells,1480,6704,11080,1.652744630071599,AdaBIND,8,64.0,0.00954653937947494,16.0,,True,0.0,False,
t_drive_cells,1480,6704,11080,1.652744630071599,BIND,16,128.0,0.01909307875894988,16.0,72.0,True,0.0,False,
t_drive_cells,1480,6704,11080,1.652744630071599,AdaBIND,16,128.0,0.01909307875894988,16.0,,True,0.0,False,
t_drive_cells,1480,6704,11080,1.652744630071599,BIND,32,256.0,0.03818615751789976,16.0,136.0,True,0.0,False,
t_drive_cells,1480,6704,11080,1.652744630071599,AdaBIND,32,256.0,0.03818615751789976,16.0,,True,0.0,False,
